epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.321990104822012,2.22184756398201,0.13221153846153846,0.13617021276595745,0.11031753962575014,0.0911191887237879,0.13811882561882563,0.0,0.0,0.8965516544735354,1.0000000513478433,3,13.90143346786499
1,2.284822570866552,2.1147159337997437,0.12607758620689655,0.26382978723404255,0.11002464214300603,0.2585202011708468,0.30987068487068486,2e-05,0.0002,0.9999998942298022,0.9999999998709084,0,12.95706033706665
2,2.0964426624363868,1.9874704629182816,0.25646551724137934,0.2680851063829787,0.24073014715395874,0.26303795380943457,0.3175698309626881,4e-05,0.0004,0.9999998899967096,1.000000048416412,0,12.90169882774353
3,1.9677577840870824,1.8951146304607391,0.30711206896551724,0.3829787234042553,0.2859222980424281,0.3648602114871122,0.41987675023389304,6e-05,0.0006,0.9999998809010374,1.0000000189258003,0,12.637572765350342
4,1.907343630133004,1.8472497016191483,0.34698275862068967,0.451063829787234,0.3230588069900126,0.4077256141691126,0.43180282019567734,8e-05,0.0008,0.9999998498681696,0.9999999801653089,0,12.368343114852905
5,2.028648458678147,1.7917559146881104,0.2704741379310345,0.3702127659574468,0.2594370949512149,0.35956842824021223,0.4433071888429031,0.0001,0.001,0.9999999029786084,1.0000000031561351,0,15.121306657791138
6,1.9977003459272713,1.7841838151216507,0.32004310344827586,0.46808510638297873,0.2962535902270637,0.40937897108885796,0.43422103689960834,9.991845519630678e-05,0.0009991845519630679,0.9999998842070128,0.999999968502362,0,15.083475828170776
7,1.866617802915902,1.8184921890497208,0.3900862068965517,0.46382978723404256,0.35284202751793536,0.42757019126584345,0.46870490620490624,9.967408676742751e-05,0.0009967408676742752,0.9999998662727037,0.9999999283316551,0,14.525902271270752
8,1.7807572792316306,1.7228167653083801,0.32004310344827586,0.5574468085106383,0.29807891732601277,0.5001145023041431,0.5167411953126239,9.926769179238466e-05,0.0009926769179238466,0.999999866446555,0.9999999662292375,0,14.709431409835815
9,1.7492710475263924,1.6249543130397797,0.4515086206896552,0.5617021276595745,0.4128841950865334,0.5073504331920349,0.5394996868211154,9.870059584711668e-05,0.0009870059584711668,0.9999998702804793,0.9999999752616631,0,15.003684759140015
10,1.6927618898194412,1.581711858510971,0.42887931034482757,0.5872340425531914,0.4043861767929353,0.5314057901835504,0.5715455179740894,9.797464868072488e-05,0.0009797464868072487,0.999999837202966,0.9999999886724997,0,14.894519090652466
11,1.6685883012311211,1.599537968635559,0.49676724137931033,0.5617021276595745,0.46820949535475687,0.4914850477022535,0.5150449748664034,9.709221818197624e-05,0.0009709221818197624,0.9999998361367152,0.9999999211617342,0,14.911728143692017
12,1.6921287816146324,1.6037321090698242,0.3933189655172414,0.5829787234042553,0.3686257329665351,0.510451466895,0.5364248846391704,9.60561826557425e-05,0.0009605618265574251,0.9999998438356422,0.9999999401284064,0,14.639418601989746
13,1.6016868846169834,1.6037886142730713,0.4418103448275862,0.6425531914893617,0.4218771195290272,0.5730613215416882,0.5884011821511821,9.486992143456792e-05,0.0009486992143456792,0.9999998233903211,0.9999999534003462,0,14.283427476882935
14,1.590087368570525,1.663538470864296,0.5420258620689655,0.5957446808510638,0.5107988900594502,0.5271473146885788,0.5423866807795379,9.353730385598887e-05,0.0009353730385598887,0.9999998192005901,0.9999999324423595,0,14.768564224243164
15,1.4928336225706955,1.6564873456954956,0.44719827586206895,0.6042553191489362,0.4201398338010363,0.5221917043447416,0.548486235986236,9.206267664155907e-05,0.0009206267664155906,0.999999793162124,0.9999998823401733,0,14.413532733917236
16,1.413938781310772,1.590600997209549,0.5301724137931034,0.6510638297872341,0.511069529697453,0.5804005546639986,0.6093400646972075,9.045084971874738e-05,0.0009045084971874737,0.9999998029208544,0.9999999305353605,0,14.603926658630371
17,1.3815900868382947,1.5269624441862106,0.5678879310344828,0.6723404255319149,0.5294809462733387,0.603767845732003,0.6377595618667047,8.870708053195413e-05,0.0008870708053195413,0.999999801056891,0.9999999503852933,0,14.649208545684814
18,1.5866854437466325,1.5294969081878662,0.5603448275862069,0.6638297872340425,0.5217879885330597,0.6128848006921097,0.6308721040863898,8.683705689382024e-05,0.0008683705689382025,0.9999998006570325,0.9999999163444573,0,14.5119309425354
19,1.5123863487408078,1.4979417026042938,0.5107758620689655,0.6851063829787234,0.4844260370102639,0.6135193187884759,0.6265183229468945,8.484687843276469e-05,0.0008484687843276469,0.9999997747998203,0.9999999210060744,0,14.786537885665894
20,1.572869676968147,1.5174914449453354,0.5344827586206896,0.6510638297872341,0.5011495014871388,0.5914103174176351,0.6184767613339042,8.274303669726426e-05,0.0008274303669726426,0.9999998024448429,0.9999999154866969,0,14.512494564056396
21,1.4673528835691254,1.507860854268074,0.5032327586206896,0.6936170212765957,0.4739329018793976,0.6393541765983368,0.6561642722357008,8.053239398177191e-05,0.0008053239398177191,0.9999997618289626,0.999999941164196,0,14.967681407928467
22,1.5514318429190537,1.5254154056310654,0.5150862068965517,0.6340425531914894,0.4741850517439093,0.5706325156325156,0.5803690357261786,7.822216094333847e-05,0.0007822216094333848,0.9999997641474014,0.9999999088637761,0,14.925888776779175
23,1.2759347064741726,1.511547178030014,0.6939655172413793,0.676595744680851,0.6663210357058718,0.6117223909078711,0.6209891299177013,7.58198730819481e-05,0.000758198730819481,0.9999997438502464,0.9999998597167847,0,14.684335231781006
24,1.3440942373769036,1.506085827946663,0.584051724137931,0.6723404255319149,0.55645845627241,0.6111245494633116,0.6217522556808271,7.333336616128369e-05,0.0007333336616128369,0.9999997168175538,0.9999998779021961,0,14.8612699508667
25,1.4060528155030876,1.4414441585540771,0.5775862068965517,0.6978723404255319,0.5270268616569915,0.6459572338407219,0.6676151229722658,7.077075065009433e-05,0.0007077075065009433,0.999999744467017,0.9999998532435601,0,15.053072452545166
26,1.3768419315075051,1.4696184396743774,0.6745689655172413,0.6893617021276596,0.6545269123398068,0.6102452947416687,0.622729453086596,6.814038526753205e-05,0.0006814038526753205,0.9999997254586728,0.999999923847991,0,14.632869482040405
27,1.0896902968143594,1.4450214952230453,0.6756465517241379,0.7148936170212766,0.6583248024692816,0.6661555497845232,0.6720338193552479,6.545084971874738e-05,0.0006545084971874737,0.9999996671043759,0.9999998606587783,0,15.064545631408691
28,1.2588337372089256,1.4621899724006653,0.6670258620689655,0.6978723404255319,0.6386876730416728,0.6406010781289219,0.6475082457225314,6.271091670967436e-05,0.0006271091670967436,0.999999673727279,0.9999999249920353,0,14.797627210617065
29,1.204212330538651,1.4291273206472397,0.5980603448275862,0.7021276595744681,0.5595550362791104,0.6395397298947831,0.6568545541759827,5.992952333228728e-05,0.0005992952333228728,0.9999996568805838,0.9999998709891013,0,14.749110698699951
30,1.2052809986574897,1.4214624911546707,0.697198275862069,0.723404255319149,0.6660001552782059,0.674217490296539,0.6856501633287347,5.7115741913664264e-05,0.0005711574191366427,0.9999996486490218,0.999999866627734,0,14.913751602172852
31,1.1680534461448933,1.457132801413536,0.6584051724137931,0.7063829787234043,0.6363658277137832,0.6595314587098546,0.6556627895913609,5.427875042394199e-05,0.0005427875042394199,0.9999996268913983,0.9999998595679576,0,15.124136447906494
32,1.277336100052143,1.4474440515041351,0.615301724137931,0.6893617021276596,0.5846079782172133,0.6346648737364737,0.6448898323898323,5.142780253968481e-05,0.0005142780253968481,0.999999633172827,0.9999999380148633,0,14.97488284111023
33,1.3554473909838447,1.4462898671627045,0.6584051724137931,0.6936170212765957,0.6245285573433486,0.6377074162909802,0.6414121592693022,4.85721974603152e-05,0.0004857219746031519,0.9999996817380598,0.9999998944163294,0,14.953397035598755
34,1.3629719306682717,1.4275789707899094,0.5441810344827587,0.7021276595744681,0.5131048540340457,0.6378860426814228,0.6336827854684997,4.5721249576058027e-05,0.0004572124957605803,0.9999996648908148,0.9999998731243707,0,14.690932035446167
35,1.4445654914296906,1.4535219371318817,0.5991379310344828,0.7191489361702128,0.5712883727501135,0.6627059901027423,0.6555027313955886,4.288425808633575e-05,0.0004288425808633575,0.9999996915047658,0.9999998621611709,0,14.592504739761353
36,1.3962618790823838,1.4039424061775208,0.6012931034482759,0.7106382978723405,0.5838547792498446,0.6529794997180838,0.6569962775319919,4.007047666771274e-05,0.00040070476667712743,0.999999683930771,0.999999892909334,0,15.423302412033081
37,1.219218319859998,1.41128808259964,0.7144396551724138,0.7319148936170212,0.6852431427706556,0.6740397464116159,0.6727929808286952,3.728908329032567e-05,0.00037289083290325663,0.9999996167893118,0.9999998778440714,0,15.132204294204712
38,1.2332778079756375,1.3899608254432678,0.75,0.7276595744680852,0.7032386985918607,0.6796132915029642,0.6886972154829297,3.4549150281252636e-05,0.00034549150281252633,0.999999641777987,0.9999998414715229,0,15.297407627105713
39,1.091209995335546,1.3831803798675537,0.7661637931034483,0.7276595744680852,0.7371374553931016,0.6787921899003998,0.6842309476238047,3.1859614732467954e-05,0.00031859614732467957,0.9999995355909141,0.9999998868004791,0,15.014057397842407
40,1.1747096982495537,1.3716540038585663,0.6454741379310345,0.7404255319148936,0.6085380720136718,0.6860218879030759,0.6929360322217465,2.9229249349905684e-05,0.0002922924934990568,0.9999995975911196,0.9999999460196334,0,15.35835576057434
41,1.3121598095729434,1.398534581065178,0.6616379310344828,0.7319148936170212,0.6396685146756775,0.6822909916783375,0.6901595428381142,2.6666633838716314e-05,0.00026666633838716316,0.9999996090045711,0.9999999353651929,0,15.683701753616333
42,1.285452088405346,1.4035791903734207,0.5948275862068966,0.7106382978723405,0.5595812027582773,0.656131444191464,0.6575686218543362,2.418012691805191e-05,0.00024180126918051909,0.999999597755612,0.9999999428480395,0,15.461200475692749
43,1.1085281515943592,1.3736905753612518,0.7004310344827587,0.723404255319149,0.6715876147977242,0.6669537730925827,0.6720244041672613,2.1777839056661554e-05,0.00021777839056661552,0.9997124839254036,0.9999998709275328,0,16.13014316558838
44,1.2139602899551392,1.3851653635501862,0.6734913793103449,0.723404255319149,0.6575853854117163,0.6695153268511487,0.676488689881547,1.946760601822809e-05,0.0001946760601822809,0.9999995450476107,0.9999998436400843,0,15.499788522720337
45,1.2574436582367996,1.3713493347167969,0.6842672413793104,0.7276595744680852,0.6413247897355177,0.6743172856827357,0.6799609121037692,1.725696330273575e-05,0.0001725696330273575,0.9934689500638844,0.9999998486702167,0,15.060874462127686
46,1.1971862480558197,1.3673113882541656,0.6918103448275862,0.6978723404255319,0.6707598680711175,0.6405169084175903,0.6503987084344227,1.4661042244604391e-05,0.00013801618719291655,0.9987258730346014,0.9999998150975408,0,15.126208782196045
47,1.195193823041587,1.377630889415741,0.6810344827586207,0.7276595744680852,0.6604410713353982,0.6687742944053623,0.6708014208014208,1.22887271325281e-05,9.80118831227791e-05,0.9935884014712393,0.9999998423837053,0,15.228084087371826
48,1.1214554350951622,1.3782900124788284,0.697198275862069,0.7191489361702128,0.6710422872370003,0.6665606733870014,0.6702345273773844,1.068248570026249e-05,6.433262105266274e-05,0.9944094727416489,0.9999998354858051,0,14.917754173278809
49,1.2330658600248139,1.374643474817276,0.65625,0.7276595744680852,0.6356306176700899,0.6751704051584979,0.6761105957534529,9.875388202501896e-06,3.362927022752083e-05,0.9946368881073469,0.9999999410153044,0,15.197505474090576
50,1.2456655070699494,1.3774261623620987,0.6756465517241379,0.723404255319149,0.643929976278427,0.6658572299313807,0.6704599963528535,1e-05,1e-05,0.9869748621012789,0.9999998482603838,0,15.20081353187561
51,1.209544354471667,1.3672790229320526,0.6767241379310345,0.7319148936170212,0.6477303820516448,0.6719878875943762,0.673352441209584,1e-05,1e-05,0.9999995733916319,0.9999998344575642,0,15.357277393341064
52,1.1710259071711837,1.3808292746543884,0.7413793103448276,0.723404255319149,0.7016818104121159,0.666437235206373,0.6673291985791985,1e-05,1e-05,0.9980110597224856,0.9999998334490047,0,14.951183795928955
53,1.2998245337913776,1.3714495152235031,0.6142241379310345,0.7191489361702128,0.5771285859831247,0.6650142745185849,0.6724441233369804,1e-05,1e-05,0.999999593990864,0.9999998631245055,0,14.733883380889893
54,1.171756123674327,1.3719009310007095,0.7295258620689655,0.7319148936170212,0.7106664649234421,0.6743130122784029,0.6808712121212122,1e-05,1e-05,0.9997644709914071,0.9999999172862322,0,15.243106842041016
55,1.0643556241331429,1.3543975502252579,0.7855603448275862,0.7319148936170212,0.7662750029137364,0.6773252279635258,0.6850703859632431,1e-05,1e-05,0.9909328554996029,0.9999998422444254,0,15.172322511672974
